"","x"
"1",0.00122558575962572
"2",0.0158829477291985
"3",-0.000133573862026282
"4",0.00150000876655643
"5",0.0106885392794061
"6",0.00391572891565228
"7",0.0209985940940868
"8",-3.43115386325366e-07
"9",0.0222442978917549
"10",0.00128523671166769
"11",0.000535249354856826
"12",0.00516862726045675
