"","x"
"GBR_HG00096",0.357254951544406
"GBR_HG00097",0.359441589254238
"GBR_HG00099",0.35750039047102
"GBR_HG00100",0.355455066082572
"GBR_HG00101",0.357180576112099
"GBR_HG00102",0.356831011580255
"GBR_HG00103",0.354778249648576
"GBR_HG00105",0.357961518151324
"GBR_HG00106",0.357433452581943
"GBR_HG00107",0.35616163268949
"GBR_HG00108",0.355908756219646
"GBR_HG00109",0.36204472938499
"GBR_HG00110",0.346373825797862
"GBR_HG00111",0.354354309684425
"GBR_HG00112",0.352725487716897
"GBR_HG00113",0.355886443589953
"GBR_HG00114",0.355068313834574
"GBR_HG00115",0.36111503648115
"GBR_HG00116",0.355514566428417
"GBR_HG00117",0.343681435148342
"GBR_HG00118",0.35884658579578
"GBR_HG00119",0.352353610555361
"GBR_HG00120",0.35832595776963
"GBR_HG00121",0.357589640989788
"GBR_HG00122",0.358987899117164
"GBR_HG00123",0.359902716934542
"GBR_HG00125",0.356407071616104
"GBR_HG00126",0.358779647906703
"GBR_HG00127",0.354153496017196
"GBR_HG00128",0.356444259332257
"GBR_HG00129",0.3581251441024
"GBR_HG00130",0.357998705867478
"GBR_HG00131",0.35947133942716
"GBR_HG00132",0.354458435289655
"GBR_HG00133",0.360110968145002
"GBR_HG00136",0.358065643756554
"GBR_HG00137",0.355730255182108
"GBR_HG00138",0.357849955002863
"GBR_HG00139",0.356786386320871
"GBR_HG00140",0.355931068849338
"GBR_HG00141",0.356897949469331
"GBR_HG00142",0.356950012271946
"GBR_HG00143",0.361419975753609
"GBR_HG00145",0.358653209671781
"GBR_HG00146",0.361940603779759
"GBR_HG00148",0.36153153890207
"GBR_HG00149",0.360110968145002
"GBR_HG00150",0.35553687905811
"GBR_HG00151",0.358006143410709
"GBR_HG00154",0.355968256565491
"GBR_HG00155",0.355990569195183
"GBR_HG00157",0.357790454657018
"GBR_HG00158",0.362379418830372
"GBR_HG00159",0.354755937018884
"GBR_HG00160",0.354726186845961
"FIN_HG00171",0.35626575829472
"FIN_HG00173",0.356183945319182
"FIN_HG00174",0.358006143410709
"FIN_HG00176",0.35398987006612
"FIN_HG00177",0.357016950161023
"FIN_HG00178",0.354763374562115
"FIN_HG00179",0.357455765211635
"FIN_HG00180",0.355551754144571
"FIN_HG00181",0.363710739068671
"FIN_HG00182",0.360014280083003
"FIN_HG00183",0.351996608480287
"FIN_HG00185",0.357552453273635
"FIN_HG00186",0.354146058473965
"FIN_HG00187",0.355298877674727
"FIN_HG00188",0.357128513309484
"FIN_HG00189",0.35802101849717
"FIN_HG00190",0.359501089600083
"GBR_HG00231",0.360311781812232
"GBR_HG00232",0.356540947394257
"GBR_HG00233",0.357939205521632
"GBR_HG00234",0.357165701025637
"GBR_HG00235",0.357998705867478
"GBR_HG00236",0.348367087383695
"GBR_HG00237",0.359404401538084
"GBR_HG00238",0.355990569195183
"GBR_HG00239",0.357849955002863
"GBR_HG00240",0.356637635456256
"GBR_HG00242",0.35853420898009
"GBR_HG00243",0.356607885283333
"GBR_HG00244",0.356637635456256
"GBR_HG00245",0.357359077149636
"GBR_HG00246",0.361293537518687
"GBR_HG00250",0.356154195146259
"GBR_HG00251",0.360765471949306
"GBR_HG00252",0.355172439439804
"GBR_HG00253",0.35853420898009
"GBR_HG00254",0.356957449815177
"GBR_HG00255",0.356823574037024
"GBR_HG00256",0.354257621622426
"GBR_HG00257",0.359597777662083
"GBR_HG00258",0.357954080608094
"GBR_HG00259",0.358385458115475
"GBR_HG00260",0.35451049809227
"GBR_HG00261",0.356213695492105
"GBR_HG00262",0.357797892200248
"GBR_HG00263",0.3569871999881
"GBR_HG00264",0.355908756219646
"GBR_HG00265",0.356035194454568
"FIN_HG00266",0.356206257948874
"FIN_HG00267",0.358958148944241
"FIN_HG00268",0.356667385629179
"FIN_HG00269",0.356607885283333
"FIN_HG00271",0.354986500859036
"FIN_HG00272",0.355879006046723
"FIN_HG00273",0.35523193978565
"FIN_HG00274",0.357135950852714
"FIN_HG00275",0.358787085449934
"FIN_HG00276",0.355983131651953
"FIN_HG00277",0.357024387704254
"FIN_HG00278",0.356615322826564
"FIN_HG00280",0.356221133035336
"FIN_HG00281",0.357559890816865
"FIN_HG00282",0.357284701717329
"FIN_HG00284",0.356154195146259
"FIN_HG00285",0.353521304842584
"FIN_HG00288",0.355507128885187
"FIN_HG00290",0.352896551211204
"FIN_HG00304",0.357351639606405
"FIN_HG00306",0.355983131651953
"FIN_HG00308",0.35936721382193
"FIN_HG00309",0.35739626486579
"FIN_HG00310",0.357574765903327
"FIN_HG00311",0.357626828705942
"FIN_HG00313",0.355678192379493
"FIN_HG00315",0.357589640989788
"FIN_HG00318",0.359478776970391
"FIN_HG00319",0.355864130960261
"FIN_HG00320",0.354272496708887
"FIN_HG00321",0.359382088908392
"FIN_HG00323",0.352636237198129
"FIN_HG00324",0.349259592571382
"FIN_HG00325",0.351981733393825
"FIN_HG00326",0.355693067465955
"FIN_HG00327",0.357344202063174
"FIN_HG00328",0.354666686500115
"FIN_HG00329",0.358995336660394
"FIN_HG00330",0.355968256565491
"FIN_HG00331",0.356191382862413
"FIN_HG00332",0.354852625080883
"FIN_HG00334",0.356355008813489
"FIN_HG00335",0.359389526451622
"FIN_HG00336",0.358586271782705
"FIN_HG00337",0.358273894967015
"FIN_HG00338",0.355075751377805
"FIN_HG00339",0.356964887358408
"FIN_HG00341",0.356860761753178
"FIN_HG00342",0.352189984604286
"FIN_HG00343",0.357753266940864
"FIN_HG00344",0.357031825247484
"FIN_HG00345",0.359925029564234
"FIN_HG00346",0.349876908659532
"FIN_HG00349",0.357968955694555
"FIN_HG00350",0.358385458115475
"FIN_HG00351",0.353766743769198
"FIN_HG00353",0.355150126810112
"FIN_HG00355",0.359114337352086
"FIN_HG00356",0.357664016422095
"FIN_HG00357",0.357552453273635
"FIN_HG00358",0.353015551902895
"FIN_HG00360",0.355879006046723
"FIN_HG00361",0.354681561586577
"FIN_HG00362",0.356496322134872
"FIN_HG00364",0.358801960536396
"FIN_HG00365",0.359092024722394
"FIN_HG00366",0.356860761753178
"FIN_HG00367",0.358095393929477
"FIN_HG00368",0.357753266940864
"FIN_HG00369",0.356064944627491
"FIN_HG00371",0.355462503625802
"FIN_HG00372",0.357009512617792
"FIN_HG00373",0.353402304150893
"FIN_HG00375",0.357165701025637
"FIN_HG00376",0.35512781418042
"FIN_HG00378",0.353342803805047
"FIN_HG00379",0.35471874930273
"FIN_HG00380",0.360438220047154
"FIN_HG00381",0.353662618163968
"FIN_HG00382",0.358668084758243
"FIN_HG00383",0.354265059165656
"FIN_HG00384",0.355626129576878
"PUR_HG00551",0.368671580403561
"PUR_HG00553",0.376979316192275
"PUR_HG00554",0.369869024863707
"PUR_HG00637",0.376696689549508
"PUR_HG00638",0.375201743360133
"PUR_HG00640",0.367489011029877
"PUR_HG00641",0.365056934393431
"PUR_HG00731",0.366343629372346
"PUR_HG00732",0.366894007571419
"PUR_HG00734",0.371386283682774
"PUR_HG00736",0.366418004804653
"PUR_HG00737",0.370196276765859
"PUR_HG00739",0.365882501692041
"PUR_HG00740",0.372315976586614
"PUR_HG00742",0.364685057231895
"PUR_HG00743",0.370084713617398
"CDX_HG00759",0.330725234840427
"CDX_HG00766",0.3325102452158
"CDX_HG00844",0.33158055231196
"CDX_HG00851",0.329088975329669
"CDX_HG00864",0.333001123069028
"CDX_HG00867",0.33384900299733
"CDX_HG00879",0.331848303868266
"CDX_HG00881",0.333454813206102
"CDX_HG00956",0.330881423248273
"CDX_HG00978",0.335730701434702
"CDX_HG00982",0.331097112001964
"CDX_HG01028",0.332346619264724
"CDX_HG01029",0.33158055231196
"CDX_HG01031",0.33436219348025
"CDX_HG01046",0.330308732419507
"PUR_HG01047",0.369824399604323
"PUR_HG01048",0.368812893724945
"PUR_HG01049",0.383940856656229
"PUR_HG01051",0.375618245781054
"PUR_HG01052",0.381538530192707
"PUR_HG01054",0.367912950994028
"PUR_HG01055",0.374420801320908
"PUR_HG01058",0.369229396145865
"PUR_HG01060",0.366157690791578
"PUR_HG01061",0.362944672115907
"PUR_HG01063",0.386194432255137
"PUR_HG01064",0.375365369311209
"PUR_HG01066",0.365272623147122
"PUR_HG01067",0.368076576945103
"PUR_HG01069",0.3697946494314
"PUR_HG01070",0.366551880582806
"PUR_HG01072",0.366113065532193
"PUR_HG01073",0.368002201512796
"PUR_HG01075",0.369816962061092
"PUR_HG01077",0.377626382453348
"PUR_HG01079",0.374063799245833
"PUR_HG01080",0.371683785412003
"PUR_HG01082",0.374837303741828
"PUR_HG01083",0.372092850289692
"PUR_HG01085",0.376183499066588
"PUR_HG01086",0.368589767428023
"PUR_HG01088",0.380147709608562
"PUR_HG01089",0.379798145076718
"PUR_HG01092",0.383643354927001
"PUR_HG01094",0.375908309967052
"PUR_HG01095",0.368716205662945
"PUR_HG01097",0.368106327118026
"PUR_HG01098",0.375038117409057
"PUR_HG01101",0.370635091816471
"PUR_HG01102",0.373996861356757
"PUR_HG01104",0.372011037314154
"PUR_HG01105",0.367050195979264
"PUR_HG01107",0.380660900091482
"PUR_HG01108",0.382773162369006
"PUR_HG01110",0.370969781261854
"PUR_HG01111",0.371832536276617
"CLM_HG01112",0.356890511926101
"CLM_HG01113",0.363643801179594
"CLM_HG01119",0.36473712003451
"CLM_HG01121",0.369861587320476
"CLM_HG01122",0.371416033855697
"CLM_HG01124",0.377098316883967
"CLM_HG01125",0.370642529359702
"CLM_HG01130",0.369110395454174
"CLM_HG01131",0.370345027630473
"CLM_HG01133",0.364104928859899
"CLM_HG01134",0.373446483157683
"CLM_HG01136",0.369735149085554
"CLM_HG01137",0.359783716242851
"CLM_HG01139",0.373974548727064
"CLM_HG01140",0.364811495466817
"CLM_HG01142",0.375982685399359
"CLM_HG01148",0.33828921630607
"CLM_HG01149",0.368262515525871
"PUR_HG01161",0.373238231947223
"PUR_HG01162",0.370203714309089
"PUR_HG01164",0.368522829538947
"PUR_HG01167",0.376726439722431
"PUR_HG01168",0.36473712003451
"PUR_HG01170",0.372390352018921
"PUR_HG01171",0.378846139543186
"PUR_HG01173",0.36844845410664
"PUR_HG01174",0.36432061761359
"PUR_HG01176",0.370873093199854
"PUR_HG01177",0.366856819855265
"PUR_HG01182",0.374777803395982
"PUR_HG01183",0.365480874357582
"PUR_HG01187",0.373677046997836
"PUR_HG01188",0.380147709608562
"PUR_HG01190",0.373349795095684
"PUR_HG01191",0.370040088358014
"PUR_HG01197",0.366031252556655
